,类别,标题,经度,纬度
1324,三星半店铺,郑州福露顺尚品涮锅火锅(锦艺城店),113.6160909,34.73943417
1342,四星店铺,郑州鼎胜佛跳墙火锅(朗悦公园茂店),113.561034,34.82366498
1346,三星半店铺,郑州重庆火锅，东北大骨头(升龙天汇店),113.6210675,34.74157153
1347,三星店铺,郑州老冀家烧烤火锅鸡大盘鸡,113.5463663,34.80411031
1354,三星半店铺,郑州澄麟啃羊骨·涮牛肚(五建新街坊店),113.5991551,34.765028
1357,三星店铺,郑州火潮旋转小火锅(梧桐街店),113.5540411,34.79308556
1360,三星半店铺,郑州虎妈串串(新芒果春天店),113.5461429,34.80586016
1366,三星半店铺,郑州吾蜀巷子重庆小火锅(冉屯东路店),113.6139603,34.76803249
1374,三星半店铺,郑州李双全川香石锅鱼(须水店),113.5296099,34.77057007
1378,三星半店铺,郑州成都迎春串串香,113.6092097,34.76551047
1380,三星半店铺,郑州北59号牛杂煲(秦岭路店),113.6100236,34.75788277
1382,三星半店铺,郑州北59号牛杂煲(伊河路店),113.6218185,34.7487239
1387,三星半店铺,郑州小胡同前门涮锅(升龙天汇店),113.585761,34.790092
1391,三星半店铺,郑州川辣亲民重庆火锅,113.6128669,34.74876021
1394,三星半店铺,郑州胡小厨酱炒鸡·酸菜鱼(五建新街坊店),113.5991551,34.765028
1403,三星半店铺,郑州有拈头成都市井火锅(秦岭路店),113.6100236,34.75788277
1405,三星半店铺,郑州泉记嗨锅·清真川味火锅(秦岭路店),113.6100236,34.75788277
1406,四星店铺,郑州红浪宇火锅(秦岭路旗舰店),113.610354,34.76422994
1408,三星半店铺,郑州洛阳涮牛肚(晶华城店),113.6111405,34.78491065
1409,三星半店铺,郑州老米家火锅,113.609452,34.74588597
1411,三星半店铺,郑州尤记渝金汤重庆火锅滋补羊排锅,113.6128669,34.74876021
1412,三星半店铺,郑州阿東王婆大虾(西站路店),113.6205089,34.77377659
1413,三星半店铺,郑州黄记煌三汁焖锅(中原新城店),113.621777,34.74166497
1414,三星半店铺,郑州壹锅蒸能量蒸汽石锅鱼(万科城店),113.5251814,34.81644992
1415,三星半店铺,郑州煌记麻辣小龙虾,113.610405,34.77139595
1416,三星半店铺,郑州钱辣辣老成都串串火锅(华强店),113.610027,34.795219
1420,三星半店铺,郑州西湖轩羊肉涮锅,113.5939269,34.76511585
1424,三星半店铺,郑州福来顺铜锅涮,113.6149529,34.73774305
1425,三星半店铺,郑州金莱源野生大鱼坊(秦岭路店),113.610197,34.730231
1428,三星半店铺,郑州小郡肝串串香火锅(高新区店),113.5578077,34.83048333
1430,三星半店铺,郑州五味缘小郡肝串串香火锅(秦岭路店),113.6157244,34.76892044
1432,三星半店铺,郑州三汤两割骨汤煲火锅(石楠路店),113.5579742,34.82545912
1439,三星半店铺,郑州翰记小郡肝串串香(新芒果店),113.5467321,34.80566772
1441,三星半店铺,郑州红苹果生态火锅,113.589907,34.75061994
1446,三星半店铺,郑州界线锅物料理,113.5561841,34.83078097
1471,三星半店铺,郑州小V烧烤·小v家秘制火锅鸡(京广路店),113.606771,34.73853396
1475,三星半店铺,郑州川东王牛杂火锅(京广南路店),113.5621788,34.83697721
1490,三星半店铺,郑州小V家秘制火锅鸡(兴华南街店),113.606771,34.73853396
1499,三星半店铺,郑州串大侠火锅串串,113.5330997,34.71374065
1506,三星半店铺,郑州洛阳涮牛肚,113.6096169,34.76047725
1516,三星半店铺,郑州清真鸿德祥涮锅(马寨店),113.6096352,34.76066986
1557,三星半店铺,郑州王婆大虾(马寨旗舰店),113.5335725,34.71570755
1559,三星半店铺,郑州清真回族三乐福洛阳涮牛肚,113.6096169,34.76047725
1573,三星半店铺,郑州阿丽串串香,113.6026794,34.78873811
1583,三星半店铺,郑州同德肥羊火锅,113.5403935,34.71392996
1587,三星半店铺,郑州77火锅串串香,113.6026794,34.78873811
1594,三星半店铺,郑州海派火锅,113.53759,34.71758501
1596,三星半店铺,郑州小甫涮锅(爱心路店),113.604121,34.74094995
1603,三星半店铺,郑州蜀锦香厕所串串(马寨店),113.5327443,34.71510661
1623,三星店铺,郑州小甫涮锅,113.604121,34.74094995
1624,三星店铺,郑州李双全川香石锅鱼(马寨店),113.5344375,34.71711695
1630,三星店铺,郑州陈氏大虾纸包鱼,113.5334821,34.71459781
1631,三星半店铺,郑州苗岭啤酒鸭(马寨店),113.5340478,34.71706473
1650,三星半店铺,郑州串串香专卖,113.6026794,34.78873811
1658,三星店铺,郑州冯记麻辣烫,113.532807,34.71327798
1661,三星店铺,郑州斯哈火锅店,113.5700516,34.81036274
1663,三星店铺,郑州御味王婆大虾,113.5976394,34.73683073
1665,三星店铺,郑州聚品? 特色骨头锅?,113.5376351,34.71809498
1689,三星半店铺,郑州周记羊蝎子火锅,113.5305452,34.81563457
1690,三星店铺,郑州烧烤羊蝎子火锅,113.5305452,34.81563457
1692,三星店铺,郑州火盆景,113.5148519,34.72140434
1703,三星半店铺,郑州阿旺小馆·猪肚鸡·煲仔饭,113.6080503,34.76406187
1706,三星半店铺,郑州小v家秘制火锅鸡(橄榄城店),113.606771,34.73853396
1719,三星半店铺,郑州德道酱肉火锅,113.5334672,34.71405288
1733,三星半店铺,郑州清真·涮典烧烤铜锅涮(连云路店),113.5318959,34.71537032
1743,三星半店铺,郑州哥俩串串香(升龙城店),113.6026794,34.78873811
1751,三星半店铺,郑州煌城王婆大虾,113.5976394,34.73683073
1760,三星半店铺,郑州川东王牛杂火锅(经开区店),113.5469729,34.80555295
1787,三星店铺,郑州醉重庆老版火锅(阳光城店),113.5251018,34.81609614
1795,三星店铺,郑州驭羊大爷烤羊腿?羊蝎子火锅(美景鸿城店),113.5305452,34.81563457
1881,三星半店铺,郑州小甫涮锅(新郑店),113.604121,34.74094995
1893,三星半店铺,郑州围辣串串香(盛华里店),113.611432,34.78810926
1902,三星半店铺,郑州围辣串串香(绿都澜湾店),113.611432,34.78810926
1904,三星半店铺,郑州九鼎门鲜火锅烤肉,113.610427,34.76701198
1915,三星半店铺,郑州阿雯串串香,113.6026794,34.78873811
1921,三星店铺,郑州国香陆号茶餐厅,113.5428386,34.80713745
1944,三星店铺,郑州郑州市管城区辣婆大虾火锅店,113.5700516,34.81036274
1954,三星店铺,郑州潮派重庆火锅,113.6128669,34.74876021
1957,三星店铺,郑州韩记红焖羊肉,113.6132426,34.75260782
2002,三星店铺,郑州豪想你牛腩火锅店,113.5700516,34.81036274
2007,三星半店铺,郑州川东王牛杂火锅(橡树玫瑰城店),113.5469729,34.80555295
2010,三星半店铺,郑州围辣串串香(汇美茂4楼店),113.611432,34.78810926
2084,三星半店铺,郑州御姐串串香,113.6026794,34.78873811
2086,三星半店铺,郑州一鼎自助小火锅,113.5356386,34.71298207
2105,三星半店铺,郑州数签签串串香,113.6026794,34.78873811
2116,三星店铺,郑州宏丰商行红九九火锅底料特约专卖,113.6132343,34.73806965
2120,三星半店铺,郑州川东王牛杂火锅(天地湾店),113.5469729,34.80555295
2137,三星半店铺,郑州中原地锅城(香苑路店),113.620867,34.76092497
2139,三星半店铺,郑州王婆大虾(坡阳路店),113.5976394,34.73683073
