,类别,标题,经度,纬度
2107,三星半店铺,郑州任大姐串串香,113.5403636,34.88517173
2108,三星半店铺,郑州新广源冻品,113.6164137,34.83850043
2112,三星半店铺,郑州醉成都花房串串音乐餐吧(北大学城店),113.6581304,34.86629212
2113,三星半店铺,郑州8090香辣虾,113.6513511,34.8651891
2114,三星店铺,郑州巧乐厨火锅食材广场,113.6201512,34.87808122
2119,三星半店铺,郑州攀成钢串串香小集市(北大学城店),113.6567697,34.86552733
2122,三星店铺,郑州逵元火锅烧烤麻辣烫食材,113.6138914,34.83843822
2128,三星半店铺,郑州武小椒豆花醉牛肉(银通路店),113.6773341,34.87708174
2136,三星半店铺,郑州不见不散老火锅(北大学城店),113.646847,34.87303894
2142,三星半店铺,郑州渝情与你重庆火锅,113.6693741,34.87549471
2143,三星店铺,郑州众福得清真涮肉(开元路店),113.6395147,34.87403737
