,类别,标题,经度,纬度
517,三星半店铺,郑州家门口碳锅鸡碳锅鱼(淮南街店),113.6531915,34.7132107
519,三星半店铺,郑州恰享苏鲁锭冰煮羊,113.6314192,34.75343885
520,四星半店铺,郑州额尔敦传统涮(人和路店),113.6470463,34.73366269
522,三星半店铺,郑州逛呲涮吧农民火锅(升龙店),113.6233745,34.72658734
523,四星半店铺,郑州川濮火锅(人和路总店),113.647216,34.73225194
524,三星半店铺,郑州吾蜀巷子重庆小火锅(升龙国际店),113.648924,34.73237965
525,五星店铺,郑州海底捞火锅(新象城店),113.651424,34.730531
527,四星店铺,郑州重庆锅巴饮年代火锅(升龙店),113.6471912,34.73300537
528,三星半店铺,郑州拓尖,113.6314192,34.75343885
531,三星半店铺,郑州围辣串串香(大学路店),113.6422177,34.7273952
532,三星半店铺,郑州呼伦贝尔铜锅涮(淮河路店),113.6314192,34.75343885
534,三星半店铺,郑州锅圈食汇火锅烧烤食材超市(淮南街店),113.6564877,34.7120059
538,四星店铺,郑州齐祺渔锅(人和路升龙店),113.6470569,34.73324173
539,四星店铺,郑州胡涂老串串牛油火锅(大学路店),113.649576,34.73098994
540,三星店铺,郑州牛肉火烧(大学路店),113.6497594,34.73111246
541,三星半店铺,郑州minhe香辣一号鱼火锅,113.6493122,34.73236875
544,三星半店铺,郑州贰拾陆旋转自助小火锅(齐礼阎地铁C口店),113.6355838,34.72954184
545,三星半店铺,郑州丁老头家大锅台,113.646732,34.73822894
546,三星半店铺,郑州小羊羔涮锅,113.6349047,34.73798244
548,四星店铺,郑州大当甲金汤甲鱼煲,113.6314192,34.75343885
549,四星店铺,郑州蝎王府羊蝎子(嵩山南路店),113.6348906,34.73647046
551,四星半店铺,郑州九川牛坊牛杂火锅(淮南街店),113.6426469,34.71622041
552,四星半店铺,郑州巴奴毛肚火锅(淮河路店),113.642044,34.73505198
553,三星半店铺,郑州佰年王婆大虾(大学路店),113.6501862,34.73490224
558,三星半店铺,郑州渝味二毛鲜品火锅,113.6314192,34.75343885
576,四星店铺,郑州小锅仙森,113.6314192,34.75343885
577,三星半店铺,郑州二柱铜锅涮(二环支路店),113.6314192,34.75343885
581,三星店铺,郑州火辣同乐巷,113.6314192,34.75343885
613,三星半店铺,郑州香辣坊火锅虾王豆捞,113.6314192,34.75343885
616,三星半店铺,郑州骡马市火锅,113.6314192,34.75343885
623,四星店铺,郑州徐牛记牛杂煲火锅,113.6314192,34.75343885
637,三星半店铺,郑州大柳树啤酒花园,113.6424957,34.70611237
648,三星半店铺,郑州四哥硬啃酱骨自助火锅(西刘街店),113.6314192,34.75343885
663,三星店铺,郑州吉小蛮三汁焖鸡,113.6314192,34.75343885
671,三星半店铺,郑州风物诗,113.6314192,34.75343885
708,三星半店铺,郑州家门口麻辣火锅鸡(十里铺店),113.642069,34.727183
713,三星半店铺,郑州巴音川韵火锅虾锅,113.6314192,34.75343885
716,三星半店铺,郑州牦牛汤馆,113.6314192,34.75343885
723,三星半店铺,郑州香辣牛骨火锅(十里铺店),113.6314192,34.75343885
725,三星店铺,郑州蜀锅捞火锅(新悦荟店),113.6341199,34.73043088
732,三星半店铺,郑州李鱼锅,113.6314192,34.75343885
750,四星店铺,郑州蜀好签小郡肝串串火锅(高新万达店),113.6629973,34.71837537
753,三星半店铺,郑州舒来喜鱼锅(工业大学店),113.6333087,34.74861251
757,三星半店铺,郑州王婆大虾?广东猪肚鸡(高新万达店),113.6490784,34.72427091
760,三星店铺,郑州熊猫涮涮,113.6314192,34.75343885
770,三星半店铺,郑州农小锅(新悦荟店),113.6314192,34.75343885
773,三星半店铺,郑州朝興夕串串料理,113.6314192,34.75343885
775,三星半店铺,郑州川友记双椒鮰鱼麻辣羊排,113.6314192,34.75343885
777,三星店铺,郑州川大侠火锅,113.6314192,34.75343885
793,三星半店铺,郑州鱼虾炒鸡(瑞达路店),113.6496147,34.73868838
798,三星半店铺,郑州小小河边鱼(升龙又一城店),113.661455,34.72362295
807,三星店铺,郑州最佳客串,113.6314192,34.75343885
811,三星店铺,郑州藤椒串串(工大店),113.6314192,34.75343885
812,三星半店铺,郑州沸腾鱼巷(港),113.6314192,34.75343885
816,三星半店铺,郑州城外城饭庄,113.6195167,34.71418136
836,四星店铺,郑州牛腩传(高新万达店),113.6490784,34.72427091
850,三星半店铺,郑州川锅汇旋转烤涮一体火锅,113.6314192,34.75343885
862,四星店铺,郑州东来顺(经三路店),113.6314192,34.75343885
864,四星半店铺,郑州湊湊火锅·茶憩(郑州正弘城店),113.6314192,34.75343885
866,三星半店铺,郑州廣連記·顺德牛花粥火锅,113.6314192,34.75343885
887,三星半店铺,郑州贤合庄卤味火锅(正弘店),113.6314192,34.75343885
942,三星半店铺,郑州胡涂老串串牛油火锅(十里铺店),113.649576,34.73098994
976,三星店铺,郑州京馆涮(yoyopark店),113.6491099,34.72542472
978,三星半店铺,郑州半城外牛杂火锅,113.6314192,34.75343885
989,三星半店铺,郑州葛记红焖羊肉,113.6359784,34.76490271
1012,四星店铺,郑州逛呲涮吧农民火锅(永和龙子湖店),113.6233745,34.72658734
1041,三星半店铺,郑州飞哥鱼蛙相恋,113.6314192,34.75343885
1050,三星半店铺,郑州锦蓉巷成都地摊鱼,113.6314192,34.75343885
1077,三星半店铺,郑州四哥硬啃酱骨自助火锅(小夏街店),113.6314192,34.75343885
1087,三星半店铺,郑州捞王火锅,113.6314192,34.75343885
1090,三星半店铺,郑州呱呱牛·牛蛙虾煲,113.6314192,34.75343885
1155,三星半店铺,郑州老狼吃鸡研究站(0004店),113.6314192,34.75343885
1180,三星半店铺,郑州亿品捞肚包鸡,113.6314192,34.75343885
1184,三星半店铺,郑州一招鲜炒鸡碳锅鱼,113.6496147,34.73868838
1193,三星半店铺,郑州怪兽·烧烤老火锅(工人路店),113.6428148,34.71854168
1195,三星半店铺,郑州洋洋鱼锅,113.6314192,34.75343885
1197,三星半店铺,郑州阿玉火锅,113.6314192,34.75343885
1198,三星半店铺,郑州广和馆猪肚鸡(嵩山南路店),113.6341534,34.71950953
1201,三星半店铺,郑州玖妹火锅(河工大店),113.6314192,34.75343885
1204,三星半店铺,郑州东来顺(工人路店),113.6314192,34.75343885
1205,三星半店铺,郑州马军涮锅,113.6261758,34.74624531
1207,四星半店铺,郑州帅旗红蜻蜓嘴八爷美蛙鱼头火锅(淮河路店),113.6340891,34.73303489
