,类别,标题,经度,纬度
1822,三星半店铺,郑州重庆锅巴饮年代火锅(城东南路店),113.6967472,34.71992811
1823,三星半店铺,郑州老兰家铜锅涮,113.6973226,34.72394611
1824,四星店铺,郑州老渔头纸包鱼(第八大街店),113.77408,34.71915297
1825,三星店铺,郑州尚捞港式旋转自助小火锅(南关街店),113.6785042,34.740099
1826,三星半店铺,郑州冬锅夏烤老东北地锅柴鸡,113.759943,34.71700397
1827,三星半店铺,郑州广盛合猪肚鸡(紫荆山路店),113.6887123,34.74538748
1829,三星半店铺,郑州重庆赖火锅(石化路店),113.7120707,34.73848435
1835,三星半店铺,郑州重庆晶福源火锅,113.697364,34.72429495
1836,三星半店铺,郑州紫宸羊蝎子,113.6976078,34.7156413
1837,三星半店铺,郑州京味铜锅涮新郑路店,113.6861563,34.73682169
1838,四星半店铺,郑州海底捞火锅(恒大都市广场店),113.7667856,34.72067372
1840,三星半店铺,郑州二力涮锅(南大街店),113.6827566,34.75373899
1842,三星半店铺,郑州重庆赖火锅(东南路总店),113.7120707,34.73848435
1843,三星半店铺,郑州管城一锅猪肚鸡纸片鱼,113.7191717,34.71862965
1844,三星半店铺,郑州麻十三川火锅,113.7224351,34.73040292
1845,四星店铺,郑州火盆景麻辣鱼火锅(新郑路总店),113.6777168,34.75635516
1846,四星店铺,郑州火盆景麻辣鱼,113.6777168,34.75635516
1849,三星店铺,郑州御府王婆大虾(乐尚店),113.7609898,34.7200703
1850,三星半店铺,郑州千禧时尚小火锅(乐尚店),113.7608679,34.72046566
1851,三星半店铺,郑州麻辣鱼热盆景鱼火锅,113.6863701,34.73573234
1854,三星半店铺,郑州重庆锅巴饮年代火锅(阳光城店),113.7218769,34.71898726
1855,三星半店铺,郑州金汤鱼锅(乐尚店),113.7609735,34.72019255
1856,三星半店铺,郑州王婆大虾(阳光城店),113.722514,34.71746299
1860,三星半店铺,郑州上水·王婆大虾(商城路店),113.6880752,34.74331982
1861,三星半店铺,郑州锅圈食汇火锅烧烤食材超市(紫东路店),113.71514,34.72980402
1864,四星店铺,郑州合丰源滋补烩面,113.7566321,34.7328167
1867,三星半店铺,郑州巴鼎毛肚火锅(文兴路店),113.7252875,34.6956999
1868,三星半店铺,郑州重庆美蛙鱼头川味火锅,113.766544,34.74777098
1870,三星半店铺,郑州三味食府·云南蒸汽石锅鱼(经北六路店),113.759267,34.73987096
1871,三星半店铺,郑州清真·老北京铜锅涮(紫辰路店),113.7015007,34.71116073
