,level_0,类别,评分口味,评分环境,评分服务,人均/元,性价比
90,90,三星店铺,3.27,3.41,3.34,49.0,0.20448979591836733
91,91,三星半店铺,3.53,3.68,3.67,25.0,0.4352
92,92,四星半店铺,4.68,4.7,4.58,67.0,0.20835820895522386
93,93,三星店铺,3.31,3.29,3.35,59.0,0.16864406779661015
94,94,四星店铺,4.06,4.09,4.2,54.0,0.22870370370370366
95,95,三星半店铺,4.22,4.06,3.91,75.0,0.16253333333333334
96,96,三星店铺,3.53,3.59,3.45,80.0,0.132125
97,97,三星半店铺,3.75,3.72,3.66,62.0,0.17951612903225808
98,98,三星半店铺,3.83,4.04,3.86,79.0,0.14848101265822786
99,99,四星半店铺,4.62,4.63,4.74,73.0,0.19164383561643836
100,100,三星半店铺,3.96,3.84,3.92,69.0,0.1698550724637681
101,101,四星店铺,4.07,4.08,3.94,78.0,0.155
102,102,三星半店铺,3.89,3.76,3.82,60.0,0.19116666666666668
103,103,三星半店铺,3.89,3.87,3.86,75.0,0.1549333333333333
104,104,三星半店铺,3.76,3.58,3.57,76.0,0.14355263157894738
105,105,三星半店铺,3.84,3.87,3.9,83.0,0.13987951807228916
106,106,四星店铺,4.37,4.49,4.25,84.0,0.15607142857142856
107,107,四星店铺,4.55,3.76,3.97,98.0,0.1253061224489796
108,108,四星店铺,4.08,4.1,4.05,67.0,0.18253731343283583
109,109,三星半店铺,3.87,3.87,3.9,63.0,0.18476190476190477
110,110,三星半店铺,3.77,3.74,3.74,69.0,0.16304347826086957
111,111,三星半店铺,3.86,3.85,3.87,63.0,0.1838095238095238
112,112,四星店铺,4.82,4.71,4.75,116.0,0.12310344827586207
113,113,四星半店铺,4.7,4.53,4.66,67.0,0.2073134328358209
114,114,三星半店铺,4.12,4.13,4.22,59.0,0.2113559322033898
115,115,四星店铺,4.24,4.09,4.04,95.0,0.13021052631578947
116,116,三星半店铺,3.75,3.79,3.74,55.0,0.2050909090909091
117,117,三星半店铺,3.97,3.91,3.91,70.0,0.16842857142857146
118,118,三星半店铺,3.88,3.93,3.83,46.0,0.2530434782608696
119,119,四星店铺,4.78,4.36,4.35,68.0,0.19838235294117648
120,120,三星半店铺,3.61,3.57,3.6,54.0,0.19962962962962963
121,121,三星半店铺,3.97,3.94,3.87,67.0,0.17582089552238808
122,122,三星半店铺,3.89,3.87,3.58,59.0,0.19220338983050847
123,123,四星店铺,4.42,4.39,4.43,77.0,0.17194805194805193
124,124,三星店铺,3.58,3.63,3.61,23.0,0.47043478260869565
125,125,三星半店铺,3.74,3.63,3.69,66.0,0.16757575757575757
126,126,三星半店铺,3.92,3.66,3.69,82.0,0.13743902439024389
127,127,三星半店铺,3.99,3.63,3.74,114.0,0.09964912280701754
128,128,三星半店铺,3.78,3.79,3.8,64.0,0.17765625000000002
129,129,三星半店铺,3.77,3.78,3.78,124.0,0.09137096774193548
130,130,四星半店铺,4.48,4.52,4.53,113.0,0.11973451327433629
131,131,三星半店铺,3.87,3.75,3.71,84.0,0.13488095238095238
