,类别,标题,经度,纬度
1675,三星半店铺,郑州幸福里串签火锅,113.7111798,34.80098622
1683,三星半店铺,郑州齐祺渔锅(橄榄城店),113.6371497,34.83161461
1695,三星半店铺,郑州博爱牛肉丸子汤(嵩山北路店),113.6347665,34.79310431
1696,三星店铺,郑州金水河源生态火锅山庄,113.6664477,34.80607045
1701,四星半店铺,郑州湊湊火锅·茶憩(郑州万象城店),113.6682761,34.761729
1704,三星半店铺,郑州王小王羊蝎子,113.6867352,34.79856459
1708,四星店铺,郑州慢跑的小红鸡(沙口路店),113.6382492,34.78848636
1713,三星半店铺,郑州三雄老板凳豆花火锅,113.6663863,34.7608022
1714,三星半店铺,郑州老家味牛杂火锅,113.693752,34.77998899
1718,四星半店铺,郑州大张涮原切羊(郑州店),113.67286,34.75946799
1721,三星店铺,郑州巴小街串串香火锅,113.629817,34.83941236
1722,三星半店铺,郑州围辣串串香(京广路店),113.6664271,34.76059083
1726,三星半店铺,郑州麻门福·秘制羊棒骨(大卫城店),113.6721841,34.7645009
1727,三星半店铺,郑州老成都旋转小火锅(橄榄城店),113.669855,34.83286838
1731,三星店铺,郑州藤椒鱼庄,113.7069335,34.76438666
1734,三星店铺,郑州五月轩回转小火锅,113.6416945,34.82218585
1735,三星半店铺,郑州独味斋涮锅,113.7136666,34.743591
1736,三星半店铺,郑州通吃門涮烤一体老火锅,113.7769826,34.76042179
1739,四星店铺,郑州龙继斑鱼庄(橄榄城店),113.6451235,34.75995635
1740,四星店铺,郑州渔火头锡纸烤鱼·烧烤,113.8005513,34.8167356
1756,四星店铺,郑州小凤阁秘制鸡虾煲(二七广场店),113.6729836,34.7582827
1758,四星店铺,郑州大草原羊架子馆总店,113.706579,34.75498899
1763,三星店铺,郑州东城火锅,113.7071752,34.76291246
1764,三星半店铺,郑州京豫马四涮锅(果园路店),113.683886,34.75834231
1769,四星半店铺,郑州好彩猪肚鸡火锅(美景龙堂店),113.7362392,34.75690389
1775,三星半店铺,郑州老齐家碳锅鸡碳锅鱼襄县焖面,113.7219523,34.74571149
1781,五星店铺,郑州海底捞火锅(西大街店),113.67784,34.76218895
1789,三星半店铺,郑州牛王火锅(城东路店),113.6982602,34.75224643
1800,三星半店铺,郑州武记碳锅鱼碳锅鸡(东明路店),113.7031768,34.75146337
1808,五星店铺,郑州渔珺传奇石锅鱼(商英街店),113.7433527,34.78964244
1810,四星店铺,郑州外婆鱼火锅,113.7767877,34.78717408
1813,三星半店铺,郑州黄记煌三汁焖锅(盛华里店),113.7145969,34.76723319
1815,三星半店铺,郑州齐祺渔锅(经开中心广场店),113.6371497,34.83161461
1818,三星半店铺,郑州杨新伟老北京旋转小火锅(商城路店),113.7001907,34.75647386
1821,三星半店铺,郑州乡村纸包鱼,113.7054938,34.75643635
1828,三星半店铺,郑州京回阁二力涮锅(管城街店),113.6834327,34.75776216
1831,三星店铺,郑州齐祺渔锅(阳光城店),113.6371497,34.83161461
1832,四星店铺,郑州火盆景麻辣鱼(城东路店),113.697662,34.75402638
1834,五星店铺,郑州巴奴毛肚火锅(商城路店),113.707101,34.756866
1841,三星半店铺,郑州一嘴香·烂摊摊火锅集市(航海路未来路店),113.710713,34.75460363
1848,三星半店铺,郑州船越鲜鱼捞(盛华里店),113.7275234,34.78254347
1857,三星半店铺,郑州巴四老城区炭火蛙锅(经开盛华里店),113.6870031,34.80158474
1859,三星半店铺,郑州王婆大虾(全国总店),113.687965,34.79082794
1865,四星半店铺,郑州海底捞火锅(东明路店),113.7063216,34.75455925
1876,三星半店铺,郑州于记骨汤串串香,113.6992913,34.75645281
1880,三星半店铺,郑州粤渝肚煲鸡老火锅,113.7769826,34.76042179
1892,三星半店铺,郑州王婆大虾(郑州总店),113.7206619,34.7543862
1909,三星半店铺,郑州海记牛肉世家,113.6915529,34.7719024
1920,三星店铺,郑州正宗潮汕牛肉丸火锅,113.687439,34.80799696
1923,三星半店铺,郑州安和美一餐,113.8194553,34.77269727
1940,三星店铺,郑州淘汰郎(管城店),113.6498919,34.83168357
1953,三星半店铺,郑州马东羊蝎子饭店(清真),113.6759956,34.75808208
1958,三星半店铺,郑州大铜锅四季涮肉(未来路店),113.724714,34.75638497
1961,三星店铺,郑州永红骨汤串串香,113.6799211,34.83205031
1963,三星半店铺,郑州YXW老北京旋转小火锅,113.7362632,34.75687364
1972,三星半店铺,郑州锦城大院火锅(郑东新区店),113.775056,34.77382097
1973,三星半店铺,郑州潮阿牛鲜货火锅(新世界百货店),113.689253,34.75915074
1976,三星半店铺,郑州黄记煌三汁焖锅(汇美茂店),113.7145969,34.76723319
1980,三星半店铺,郑州炸鸡姑娘韩式年糕火锅(德化街店),113.6749292,34.76272111
1981,三星半店铺,郑州清真穆沁斋涮锅,113.7136666,34.743591
1982,三星半店铺,郑州锅圈食汇(铭功路店),113.6664519,34.76592402
1986,三星半店铺,郑州添客转转锅·清真(新世界百货店),113.689253,34.75915074
1990,三星半店铺,郑州麻门福·秘制羊棒骨(航海路丹尼斯店),113.711496,34.75847695
2003,三星店铺,郑州游子老鸭汤,113.7593514,34.78915129
2004,三星半店铺,郑州潮洋汕头牛肉丸火锅,113.7360873,34.756581
2005,三星半店铺,郑州广和馆猪肚鸡(华钻店),113.7282308,34.75563419
2009,三星半店铺,郑州煲状元广式猪肚鸡(商英街店),113.7112438,34.78586157
2018,三星半店铺,郑州兄弟涮锅(毛庄店),113.7136666,34.743591
2024,三星半店铺,郑州百年肥羊,113.63746,34.82581814
2034,三星店铺,郑州小杰海鲜烧烤乡村地锅柴鸡,113.6896653,34.79834702
2045,三星半店铺,郑州蛙哇哒·炒鸡与牛蛙(美景万科店),113.675871,34.76243976
2056,三星店铺,郑州齐祺渔锅(丰乐路店),113.6371497,34.83161461
2058,三星半店铺,郑州品江红串串香,113.635297,34.81639198
2060,三星半店铺,郑州百煮签味旋转小火锅(升龙汇金店),113.6358507,34.80574938
2064,三星半店铺,郑州串串李串串香(南阳路店),113.6331409,34.81521078
2065,三星店铺,郑州忠鱼重庆鱼火锅,113.6313747,34.84148674
2066,三星半店铺,郑州围辣串串香(升龙汇金店),113.7124913,34.76935655
2070,三星半店铺,郑州火盆景麻辣鱼(凯诺新都汇店),113.636885,34.80710595
2073,三星半店铺,郑州德宝·御香苑(长兴路店),113.6327896,34.82834415
2081,三星半店铺,郑州鱼道鱼火锅(兴隆铺店),113.6364963,34.81651674
2087,三星半店铺,郑州老北京串串香(薛岗老店),113.686557,34.84822125
2089,三星店铺,郑州奉都涮锅,113.7136666,34.743591
2090,三星半店铺,郑州代代牛牛肚火锅,113.6372383,34.83191105
2093,三星半店铺,郑州昕时器蒸汽石锅鱼(华商万汇城店),113.6511176,34.82603023
2099,三星店铺,郑州饶氏正宗川味串串香,113.6368278,34.8158335
2109,三星半店铺,郑州五味鱼火锅,113.7767877,34.78717408
2110,三星半店铺,郑州佰人王串串香火锅直营店(南阳路店),113.6682842,34.77824016
